A_x,A_y,A_z,CGHeight,ChassisPitchAngle,ChassisRollAngle,time,TireLoadFL,TireLoadFR,TireLoadRL,TireLoadRR
0.43,0.03,0.03,423,1.54,1.58,0,2005,2377,2906,2905
0.52,0.02,0,423.4,1.59,1.58,0.05,1943,2317,2861,2772
0.51,0.04,-0.01,424,1.65,1.57,0.1,1888,2280,2903,2735
0.52,0.02,-0.01,424.2,1.67,1.58,0.15,1886,2320,2847,2717
0.55,0.07,-0.01,424.4,1.71,1.59,0.2,1879,2352,2862,2775
0.55,0.07,0.01,424.4,1.77,1.58,0.25,1859,2299,2869,2956
0.54,0.08,-0.01,424.6,1.79,1.56,0.3,1888,2252,2834,2920
0.58,0.07,-0.01,424.9,1.81,1.53,0.35,1920,2219,2810,2925
0.58,0.06,0,425,1.84,1.52,0.4,1880,2211,2879,2968
0.6,0.06,-0.01,425.2,1.85,1.52,0.45,1852,2225,2825,2956
0.59,0.08,-0.01,425.4,1.85,1.53,0.5,1834,2249,2770,2953
0.58,0.11,-0.01,425.6,1.86,1.54,0.55,1821,2261,2775,2978
0.62,0.1,-0.01,425.7,1.87,1.54,0.6,1804,2275,2772,3000
0.62,0.12,-0.01,425.8,1.89,1.54,0.65,1741,2272,2785,3030
0.64,0.12,-0.02,426.2,1.9,1.52,0.7,1658,2290,2822,3002
0.59,0.12,-0.02,426.2,1.9,1.5,0.75,1670,2333,2833,2964
0.6,0.11,-0.02,426.3,1.88,1.46,0.8,1703,2260,2862,2903
0.62,0.09,-0.01,426.3,1.85,1.42,0.85,1722,2255,2881,2910
0.63,0.07,-0.02,426.3,1.83,1.4,0.9,1730,2226,2887,2916
0.62,0.07,-0.02,426.4,1.79,1.38,0.95,1785,2162,2845,2905
0.6,0.14,0.15,423.1,1.78,1.21,1,2453,3445,3004,2708
0.6,0.05,0.2,421.6,1.9,1.06,1.05,2652,3176,3220,2555
0.6,-0.03,0.05,422.9,2.26,0.96,1.1,2110,2438,3258,2532
0.67,0.01,-0.31,431.7,2.75,0.88,1.15,365,986,3310,2527
0.69,-0.01,-0.32,434.8,2.82,0.85,1.2,402,983,3333,2478
0.79,0.09,0.11,430,2.69,0.74,1.25,1680,2064,3837,3989
0.61,-0.04,0.2,424,2.11,0.56,1.3,2252,2286,3747,3251
0.47,-0.01,-0.01,425.5,1.71,0.59,1.35,2158,2247,1956,2667
0.29,0.01,-0.37,432.9,1.24,0.58,1.4,2183,2226,934,912
0.1,0.05,-0.08,430,1.27,0.58,1.45,2353,2394,2178,2368
0,0.05,0.09,425.4,1.33,0.58,1.5,2569,2980,2627,2784
-0.05,0.04,0.23,419.5,1.38,0.52,1.55,3099,3291,2847,2683
-0.05,0.02,0.06,418.7,1.49,0.52,1.6,2682,2927,2338,2290
-0.02,0.03,-0.01,419.7,1.58,0.53,1.65,2470,2742,2233,2225
0.01,0.03,-0.01,420.4,1.74,0.53,1.7,2375,2642,2303,2598
0.39,0.04,0.11,419.6,1.92,0.45,1.75,2394,2389,3102,3046
0.63,0.01,0.08,420.5,1.98,0.44,1.8,2185,2220,3089,3074
0.71,0.02,-0.01,423.2,2.07,0.45,1.85,1796,1910,2986,3073
0.3,0.03,-0.1,425.8,2.06,0.47,1.9,1912,2157,2413,2513
0.33,0.05,-0.06,425.9,2.01,0.46,1.95,2049,2365,2455,2500
0.38,0.05,-0.02,425.6,1.97,0.43,2,2151,2317,2676,2643
0.39,0.04,0.01,424.9,1.93,0.43,2.05,2131,2312,2778,2789
0.43,0.03,0,424.9,1.91,0.42,2.1,2114,2293,2673,2776
0.4,0.04,0.07,423.7,1.9,0.36,2.15,2592,2764,2647,2578
0.39,0.01,0.02,423.9,2.08,0.31,2.2,2276,2388,2766,2648
0.42,0.02,0,424.5,2.21,0.32,2.25,2080,2256,2789,2749
0.41,0.05,0.03,424.7,2.4,0.33,2.3,2012,2188,2927,3259
0.4,0.01,0.04,424.5,2.46,0.3,2.35,2169,2020,2983,3062
0.37,0.03,0,425.1,2.41,0.34,2.4,2209,2126,2611,2859
0.42,0.04,-0.05,426.2,2.32,0.39,2.45,2106,2188,2381,2751
0.42,0.06,-0.04,426.6,2.26,0.41,2.5,2134,2221,2574,2660
0.42,0.09,-0.02,426.5,2.25,0.44,2.55,2071,2309,2650,2772
0.38,0.13,-0.01,426.3,2.24,0.53,2.6,1940,2451,2507,2893
0.41,0.15,-0.01,426.2,2.24,0.57,2.65,1926,2469,2526,2927
0.43,0.15,0,426.2,2.25,0.56,2.7,1946,2439,2580,2921
0.41,0.13,0.16,423.5,2.28,0.54,2.75,2761,3257,2614,2905
0.41,0.08,0.06,423.6,2.57,0.48,2.8,2280,2561,2702,2825
0.42,0.03,-0.01,424.9,2.77,0.43,2.85,2065,2229,2750,2780
0.46,-0.01,0.13,423.9,3.03,0.36,2.9,2030,2004,3657,3623
0.39,-0.12,-0.05,426.6,2.98,0.38,2.95,2405,1304,2763,2933
0.37,-0.16,-0.07,427.7,2.84,0.46,3,2701,1425,2287,2766
0.4,-0.12,-0.12,429.4,2.65,0.57,3.05,2287,1469,2180,2629
0.42,-0.22,-0.07,429.6,2.45,0.66,3.1,2424,1938,2824,2180
0.43,-0.24,0.01,428.3,2.4,0.74,3.15,2476,2120,3077,2324
0.41,-0.24,0.04,427.1,2.39,0.77,3.2,2834,2420,2739,2327
0.43,-0.32,0.15,424.2,2.6,0.66,3.25,3309,2249,3252,2578
0.41,-0.31,0.13,423.9,2.79,0.65,3.3,3024,2022,3278,2765
0.4,-0.33,0.1,424.1,3.06,0.64,3.35,2663,1615,3655,2937
0.4,-0.34,0.05,425.1,3.18,0.69,3.4,2556,1524,3470,2826
0.37,-0.39,-0.01,426.3,3.13,0.7,3.45,2637,1543,3096,2459
0.37,-0.43,-0.05,427.8,3.02,0.68,3.5,2794,1742,2930,2074
0.39,-0.55,0.04,427,3.02,0.6,3.55,3299,1689,3313,1938
0.38,-0.58,0.01,427.4,3.09,0.59,3.6,3125,1490,3351,2028
0.29,-0.63,0,427.8,3.2,0.61,3.65,3090,809,3681,2517
0.06,-0.66,-0.07,428.6,3.04,0.69,3.7,3120,1060,3063,2019
-0.08,-0.71,-0.05,428,2.87,0.69,3.75,3814,1633,2873,1224
-0.24,-0.76,-0.04,426.8,2.67,0.75,3.8,4020,1904,2576,937
-0.31,-0.83,0.01,424.8,2.64,0.78,3.85,4055,1466,3145,1463
-0.29,-0.89,0.04,423.5,2.62,0.77,3.9,4213,1251,3380,1552
-0.39,-0.87,-0.02,423.3,2.5,0.83,3.95,3969,1334,3080,1401
-0.55,-0.92,0.04,421.2,2.24,0.91,4,4770,2084,2791,671
-0.7,-0.86,-0.02,421.1,2.18,0.99,4.05,4559,2070,2433,654
-0.87,-0.84,-0.09,421.5,2.15,1.16,4.1,4058,1655,2657,1050
-0.99,-0.89,0.07,418.1,1.9,1.24,4.15,4817,2253,2765,949
-0.88,-0.87,0.02,417.8,1.72,1.23,4.2,4915,2161,2558,364
-0.77,-0.85,-0.08,418.6,1.54,1.37,4.25,4585,2294,1993,368
-0.57,-0.97,0.05,416.8,1.61,1.41,4.3,4453,1955,3044,900
-0.42,-1,0.06,416.5,1.71,1.35,4.35,4675,1741,3338,869
-0.31,-0.97,0.03,417,1.89,1.37,4.4,4271,1430,3502,1144
-0.23,-0.9,0.07,417.3,2.09,1.49,4.45,4216,1730,3210,1341
-0.24,-0.85,0.01,418.3,2.17,1.53,4.5,3843,1353,3385,1424
-0.23,-0.87,0.05,418.4,2.26,1.61,4.55,4235,1835,3216,1321
-0.19,-0.8,0.02,419.3,2.39,1.68,4.6,3556,1385,3389,1596
-0.23,-0.85,0.06,419,2.42,1.7,4.65,4349,1978,3063,1242
-0.22,-0.84,0.04,419.3,2.5,1.69,4.7,3803,1451,3603,1444
-0.24,-0.88,0.01,419.9,2.49,1.7,4.75,4241,1924,2896,1044
-0.23,-0.93,0.08,419.2,2.52,1.67,4.8,4129,1515,3730,1347
-0.24,-0.93,0.04,419.6,2.51,1.67,4.85,4224,1981,3191,1096
-0.3,-1.08,0.28,415.5,2.65,1.55,4.9,4801,2433,3741,1194
-0.21,-0.89,-0.03,419.1,2.83,1.51,4.95,3244,774,3766,1138
-0.29,-1.18,0.24,416.7,3.02,1.51,5,5439,2752,3578,1214
-0.17,-0.95,-0.03,420.7,3.3,1.35,5.05,2823,306,4957,1741
-0.24,-0.95,-0.08,423.2,3.17,1.41,5.1,2830,2091,2775,1277
-0.31,-1.16,0.28,418.9,2.98,1.1,5.15,4514,1169,5136,1144
-0.24,-0.98,-0.05,422.9,2.64,0.96,5.2,4874,2433,2605,0
-0.27,-1.03,0.06,422.7,2.61,0.78,5.25,5432,2438,2617,0
-0.35,-1.09,0,420.9,2.93,0.69,5.3,2594,270,4969,1390
-0.23,-1.25,-0.01,425,3.03,0.78,5.35,3611,1679,3809,1458
0.01,-1.07,0.01,424.3,3,0.56,5.4,2960,113,5383,1579
0.01,-1.07,0,423.9,2.52,0.49,5.45,3241,1465,3555,1508
-0.07,-1.03,0.09,423.9,1.8,0.16,5.5,5096,1979,3661,0
-0.01,-0.94,-0.02,423.1,1.71,0.18,5.55,5013,1824,2633,0
0.08,-0.75,-0.23,427,2,0.51,5.6,2725,1843,2437,0
0.47,-1.04,0,426.8,2.67,0.44,5.65,2045,41,5560,2726
0.33,-1.11,0.1,424.4,2.67,0.1,5.7,3186,123,5679,2342
0.29,-0.9,0.01,424.4,2.24,-0.06,5.75,3198,542,4630,1556
0.06,-0.68,-0.19,428.2,1.49,0.14,5.8,3771,1590,2135,0
0.16,-0.67,-0.3,430.5,1.38,0.27,5.85,3262,1571,2172,297
0.27,-0.92,-0.06,428.3,1.49,0.33,5.9,3493,1313,3007,1498
0,-1.01,0.16,422.1,1.71,-0.06,5.95,4024,529,4347,2123
-0.18,-0.83,-0.13,424.2,1.64,-0.12,6,3500,84,3735,1292
-0.21,-0.91,-0.16,425.1,1.3,0.13,6.05,3520,1138,2866,1199
-0.22,-1.03,0.07,420.6,0.8,0.18,6.1,4680,1688,3029,1115
-0.22,-0.94,-0.07,421.1,0.63,0.13,6.15,4641,1254,2601,444
-0.22,-0.87,-0.28,424.6,0.52,0.26,6.2,4080,0,2428,853
-0.2,-1.07,-0.1,424.7,0.33,0.8,6.25,4320,0,2924,2108
-0.03,-0.92,-0.18,425.5,0.07,0.98,6.3,3163,0,2776,2252
0.11,-0.84,-0.19,425.5,-0.56,1.03,6.35,3802,0,2743,1257
0.04,-1.06,-0.16,424.1,-1.41,1.47,6.4,3996,1432,2691,337
0.07,-1.02,-0.18,422.6,-1.68,1.68,6.45,3832,1752,1967,567
0.18,-1.11,-0.04,419.6,-1.79,1.5,6.5,4182,1331,3231,1010
0.19,-1.36,0.29,410.5,-1.6,1.16,6.55,6008,1350,4118,1706
0.2,-1.34,0.3,408.5,-1.4,1.18,6.6,5722,1314,3891,1906
0.21,-1.09,0.03,411.4,-0.96,1.23,6.65,4526,455,3409,1832
0.23,-1.06,0.05,413.5,-0.47,1.56,6.7,3591,438,4669,1789
0.32,-1.03,0.11,413.3,-0.41,1.84,6.75,3230,719,4248,2984
0.21,-0.71,-0.13,417,-0.61,1.98,6.8,3278,0,3222,2073
0.28,-0.71,-0.2,422.4,-1.17,2.4,6.85,3781,0,2199,2050
0.28,-0.73,-0.18,422.2,-1.46,2.72,6.9,4101,0,1881,2285
0.26,-0.59,-0.28,422.4,-1.9,3.09,6.95,2662,975,1711,1807
0.32,-0.72,-0.02,418.4,-2.35,3.21,7,3572,2044,3336,1010
0.41,-0.8,0.17,413.4,-2.42,3.36,7.05,3633,2507,3882,1750
0.32,-0.67,0.12,411.2,-2.34,3.31,7.1,3900,2380,2619,2050
0.41,-0.77,0.24,408,-1.84,3,7.15,4253,1721,3757,2513
0.41,-0.74,0.23,407.6,-1.54,2.96,7.2,3744,1364,4130,2966
0.44,-0.65,0.11,409.3,-1.21,2.96,7.25,3190,1022,4074,2819
0.46,-0.61,0.06,411.7,-1.15,3.14,7.3,2774,1328,3588,2792
0.42,-0.58,-0.02,413.4,-1.23,3.16,7.35,2846,1365,3173,2344
0.44,-0.57,-0.06,414.8,-1.36,3.18,7.4,3030,1210,2833,2025
0.48,-0.58,-0.09,417.3,-1.43,3.19,7.45,2568,1208,3083,2193
0.48,-0.59,-0.03,416.8,-1.49,3.09,7.5,2767,1258,3764,2113
0.43,-0.63,-0.02,416,-1.65,3.04,7.55,2995,1568,3251,1835
0.45,-0.58,-0.05,416.3,-1.79,2.94,7.6,2737,1832,3050,1852
0.47,-0.58,0.02,414.5,-1.78,2.68,7.65,2912,1237,3731,1666
0.48,-0.61,-0.14,417.7,-1.76,2.51,7.7,2560,398,3886,1930
0.53,-0.53,0.23,412.8,-1.95,2.58,7.75,3222,1534,3324,2969
0.29,-0.46,-0.09,415.1,-2.07,2.44,7.8,3701,1216,2799,994
0.55,-0.55,0.01,414.9,-2.08,2.68,7.85,3198,1829,2771,2400
0.51,-0.49,0.02,413.9,-1.91,2.77,7.9,2545,1213,3617,2697
0.47,-0.48,0.01,413.9,-1.91,2.77,7.95,2810,1414,3657,2468
0.44,-0.47,0.04,413.3,-2,2.84,8,2966,1600,3202,2376
0.44,-0.39,-0.1,415.4,-2.11,2.9,8.05,2524,1579,2874,2247
0.48,-0.4,-0.02,414.8,-2.15,2.88,8.1,2651,1495,3317,2332
0.45,-0.38,-0.05,414.8,-2.24,2.91,8.15,2554,1649,2802,2362
0.44,-0.4,-0.03,414.4,-2.35,2.86,8.2,2850,1614,3004,2139
0.45,-0.4,0.01,413.7,-2.37,2.86,8.25,2922,1906,3009,2231
0.47,-0.41,0.02,412.9,-2.34,2.83,8.3,2698,1699,3233,2418
0.48,-0.44,0.05,412.6,-2.32,2.78,8.35,2719,1751,3395,2552
0.46,-0.43,0.04,412.3,-2.35,2.74,8.4,2856,1647,3201,2424
0.43,-0.44,-0.04,413.2,-2.41,2.72,8.45,2880,1670,2856,2114
0.44,-0.41,-0.04,413.1,-2.44,2.68,8.5,2673,1413,3215,2256
0.43,-0.47,-0.01,412.9,-2.46,2.67,8.55,2747,1692,3240,2245
0.43,-0.49,0,412.6,-2.51,2.61,8.6,2744,1563,3176,2218
0.42,-0.46,-0.04,413.3,-2.59,2.52,8.65,2621,1440,3178,2232
0.42,-0.5,-0.01,412.9,-2.65,2.46,8.7,2941,1563,3176,2089
0.4,-0.52,-0.02,412.5,-2.72,2.38,8.75,2977,1689,3037,1949
0.44,-0.56,0.02,411.8,-2.73,2.26,8.8,3011,1487,3465,2209
0.39,-0.55,0.01,411.5,-2.74,2.21,8.85,3017,1390,3348,2227
0.39,-0.57,-0.02,411.7,-2.79,2.13,8.9,2949,1399,3304,2045
0.39,-0.55,0,411.3,-2.88,2.12,8.95,3160,1569,3070,2217
0.36,-0.47,-0.04,411.8,-2.91,2.14,9,2895,1496,2946,2120
0.38,-0.45,-0.01,411.2,-2.95,2.16,9.05,2795,1766,3189,2219
0.02,-0.35,-0.02,409.9,-3.05,2.22,9.1,2998,2225,2528,1912
0.05,-0.27,-0.06,410,-3.1,2.22,9.15,2611,2125,2550,1976
0.03,-0.23,0.01,408.7,-3.2,2.2,9.2,2781,2354,2753,2083
0.02,-0.18,-0.05,408.3,-3.33,2.22,9.25,3011,2456,2000,1899
0.03,-0.15,-0.02,407.8,-3.32,2.24,9.3,2853,2419,2307,2209
0.01,-0.12,0.08,406.1,-3.28,2.3,9.35,2942,2520,2630,2419
0.03,-0.06,0.02,406.1,-3.22,2.44,9.4,2487,2616,2439,2517
0.15,-0.05,0.01,406.3,-3.21,2.48,9.45,2553,2367,2509,2510
0.54,0.02,0,407.2,-3.2,2.57,9.5,2087,2485,2443,2775
0.46,0.06,0,408.7,-3.1,2.64,9.55,2180,2263,2692,2818
0.35,0.1,-0.01,409.2,-3.05,2.73,9.6,2149,2488,2237,2950
0.36,0.12,0.04,408.7,-2.97,2.83,9.65,2287,2501,2537,2973
0.37,0.14,0,409.5,-2.93,2.94,9.7,1735,2447,2770,3090
0.33,0.14,0,409.8,-2.99,2.96,9.75,2030,2454,2387,2615
0.36,0.13,-0.04,410.4,-3.06,3.02,9.8,2230,2632,1960,2667
0.37,0.13,-0.03,410.3,-3,3.03,9.85,1692,2300,2601,2916
0.37,0.12,-0.04,410.5,-3,3.04,9.9,1875,2226,2685,2914
0.34,0.11,-0.03,410.3,-3.09,3.07,9.95,2042,2604,2064,2729
0.37,0.08,-0.01,410.1,-3.12,3,10,2161,2596,2488,2600
0.39,0.06,0.03,409.4,-3.09,2.98,10.05,2163,2572,2636,2857
0.37,0.03,0.06,408.4,-3.05,2.94,10.1,2387,2613,2596,2891
0.35,0.03,0.03,408.2,-2.98,2.89,10.15,2241,2421,2719,2711
0.36,0,0.04,408.1,-2.94,2.87,10.2,2131,2388,2809,2848
0.34,0,-0.01,408.8,-2.95,2.83,10.25,2112,2407,2607,2641
0.36,0,-0.07,410.2,-3.01,2.78,10.3,2077,2235,2418,2541
0.35,0,-0.07,410.6,-3.04,2.76,10.35,2054,1996,2510,2481
0.34,-0.01,-0.04,410.5,-3.11,2.78,10.4,2284,2292,2356,2602
0.34,-0.03,0.03,409.1,-3.11,2.81,10.45,2547,2496,2553,2617
0.36,-0.03,0.07,408.2,-3.05,2.84,10.5,2448,2568,2655,2883
0.33,-0.02,0.07,407.6,-2.97,2.87,10.55,2375,2310,2843,2915
0.34,-0.02,-0.02,408.6,-2.97,2.92,10.6,2092,2228,2654,2726
0.34,-0.03,-0.02,409,-3.02,2.91,10.65,2229,2350,2575,2456
0.33,-0.07,-0.06,409.8,-3.05,2.88,10.7,2272,2216,2430,2437
0.33,-0.12,0.01,409,-3.06,2.83,10.75,2512,2191,2680,2575
0.34,-0.13,0,409,-3.07,2.82,10.8,2460,2270,2704,2447
0.34,-0.15,0.04,408.2,-3.05,2.78,10.85,2612,2246,2818,2537
0.33,-0.17,0,408.4,-3.04,2.71,10.9,2443,2066,2907,2525
0.33,-0.19,-0.03,408.7,-3.06,2.67,10.95,2507,1976,2777,2409
0.35,-0.21,-0.02,408.9,-3.1,2.64,11,2486,2067,2673,2405
0.32,-0.22,0.01,408.6,-3.13,2.59,11.05,2695,2185,2854,2351
0.33,-0.22,0.01,408.3,-3.14,2.57,11.1,2747,2176,2740,2357
0.34,-0.24,0,408.4,-3.11,2.55,11.15,2539,1824,2987,2589
0.31,-0.22,0,408.1,-3.13,2.56,11.2,2612,2151,2854,2237
0.34,-0.21,0,407.9,-3.13,2.58,11.25,2614,2166,2760,2528
0.34,-0.2,-0.03,408.4,-3.13,2.6,11.3,2336,1849,2794,2554
0.29,-0.18,0.03,407.9,-3.19,2.61,11.35,2648,2490,2645,2212
0.3,-0.16,0.02,407.7,-3.19,2.6,11.4,2782,2533,2438,2186
0.34,-0.18,0.08,406.4,-3.08,2.54,11.45,2552,2120,3169,2825
0.32,-0.15,0.01,407.1,-3.05,2.47,11.5,2283,2067,2914,2482
0.3,-0.15,-0.08,408.4,-3.09,2.43,11.55,2128,2123,2712,2268
0.31,-0.15,-0.04,408.8,-3.16,2.35,11.6,2378,2263,2528,2269
0.32,-0.17,0.05,407.5,-3.13,2.21,11.65,2812,2358,2823,2451
0.32,-0.15,0.07,406.8,-3.08,2.18,11.7,2642,2147,3008,2697
0.32,-0.14,0.05,406.7,-3.03,2.22,11.75,2540,2048,2924,2825
0.32,-0.13,-0.02,407.8,-3.06,2.29,11.8,2460,2186,2659,2394
0.32,-0.11,-0.06,408.4,-3.08,2.31,11.85,2141,2245,2566,2478
0.32,-0.09,0.01,408.1,-3.1,2.27,11.9,2337,2395,2725,2472
0.31,-0.09,0.07,406.7,-3.04,2.22,11.95,2867,2353,2689,2697
0.31,-0.1,0.14,405.5,-2.97,2.26,12,2912,2221,3232,2883
0.31,-0.09,0.03,406.6,-2.92,2.37,12.05,2307,2195,2875,2790
0.28,-0.06,0.02,406.9,-2.94,2.47,12.1,2604,2661,2355,2540
0.3,-0.05,0.03,406.9,-2.91,2.46,12.15,2380,2575,2810,2661
0.3,-0.06,0.11,406.1,-2.84,2.48,12.2,2771,2134,2589,2962
0.3,-0.06,-0.05,408.3,-2.83,2.59,12.25,1835,1785,3063,2556
0.27,-0.05,-0.17,410.6,-2.91,2.65,12.3,1642,1804,2243,2519
0.26,-0.08,-0.2,412.4,-3.1,2.61,12.35,2154,1962,1942,1882
0.3,-0.13,-0.01,410.5,-3.19,2.57,12.4,2705,2339,2464,2291
0.29,-0.16,0.08,408.5,-3.15,2.58,12.45,2950,2445,2755,2560
0.29,-0.17,0.17,405.4,-3.04,2.61,12.5,3051,2503,2991,2929
0.28,-0.2,0.16,403.6,-2.91,2.68,12.55,2952,2451,3122,2912
0.26,-0.18,0.04,404.6,-2.88,2.71,12.6,2582,2126,3012,2631
0.26,-0.2,-0.01,406,-2.89,2.74,12.65,2332,2033,2767,2438
0.25,-0.2,-0.13,409,-2.98,2.7,12.7,2271,1778,2515,2151
0.28,-0.21,-0.09,409.5,-3.04,2.68,12.75,2446,1870,2567,2068
0.27,-0.23,-0.08,409.9,-3.1,2.68,12.8,2544,1831,2421,2108
0.25,-0.24,-0.01,408.6,-3.13,2.71,12.85,2716,2002,2721,2234
0.25,-0.25,0.04,407.6,-3.13,2.73,12.9,2824,2395,2757,2374
-0.02,-0.25,0.03,406.3,-3.12,2.72,12.95,2770,2322,2768,2266
-0.02,-0.24,0.02,405.1,-3.19,2.64,13,3075,2249,2596,2028
-0.01,-0.25,-0.01,405.2,-3.22,2.63,13.05,2997,2167,2474,2132
-0.03,-0.26,-0.01,405.1,-3.27,2.67,13.1,2967,2345,2482,1985
0.01,-0.27,0.06,404,-3.28,2.72,13.15,3232,2543,2551,2208
0.15,-0.29,0.11,403,-3.24,2.72,13.2,3220,2670,2787,2348
0.1,-0.28,0.11,402.4,-3.11,2.68,13.25,2936,2471,3235,2456
0.19,-0.27,0.07,402.9,-3,2.59,13.3,2970,2049,2998,2492
0.24,-0.27,0.03,403.7,-2.96,2.56,13.35,2600,1973,3141,2603
0.22,-0.28,-0.04,405.8,-2.96,2.53,13.4,2583,1904,2677,2118
0.24,-0.28,-0.05,407.4,-2.99,2.48,13.45,2633,2084,2742,2145
0.24,-0.3,0.01,407.1,-2.99,2.43,13.5,2822,2266,2816,2109
0.25,-0.33,0.03,406.7,-2.94,2.36,13.55,2821,1804,3095,2436
0.23,-0.33,-0.04,407.5,-2.95,2.3,13.6,2708,1578,2950,2069
0.26,-0.32,-0.09,408.6,-2.99,2.33,13.65,2562,1664,2700,2147
0.25,-0.3,-0.14,410,-3.09,2.37,13.7,2490,1687,2480,1944
0.25,-0.33,-0.03,408.7,-3.16,2.36,13.75,3051,1617,2676,1967
0.26,-0.34,0.08,406.9,-3.13,2.36,13.8,3083,2205,3045,2440
0.26,-0.36,0.16,404.6,-3.04,2.36,13.85,3183,2397,3305,2621
0.23,-0.33,0.16,403,-2.94,2.33,13.9,3203,2323,3282,2646
0.24,-0.33,0.17,402.7,-2.89,2.33,13.95,3409,2199,3066,2640
0.23,-0.31,0.1,403.1,-2.8,2.4,14,2999,1937,3316,2613
0.23,-0.23,-0.09,406.6,-2.81,2.57,14.05,2090,1802,2720,2340
0.23,-0.22,-0.14,408.6,-2.88,2.59,14.1,1980,2035,2367,2005
0.23,-0.23,-0.05,408.9,-2.97,2.48,14.15,2788,2432,2399,1904
0.24,-0.27,0.13,405.9,-2.86,2.31,14.2,3039,2272,3249,2671
0.23,-0.26,0.19,404.1,-2.78,2.26,14.25,3024,2556,3458,2703
0.22,-0.27,0.18,403.2,-2.69,2.21,14.3,3292,2421,3202,2792
0.25,-0.27,0.08,403.9,-2.59,2.17,14.35,2796,2028,3288,2702
0.23,-0.25,0.04,405.1,-2.58,2.2,14.4,2415,1929,3107,2550
0.23,-0.24,-0.11,408.1,-2.63,2.18,14.45,2121,1772,2686,2144
0.21,-0.24,-0.04,409,-2.7,2.05,14.5,2760,2104,2543,1785
0.27,-0.3,0.06,407.6,-2.66,1.99,14.55,3214,2263,3103,2471
0.22,-0.3,0.08,406.6,-2.59,1.92,14.6,3124,2156,3085,2415
0.22,-0.32,0.05,406.8,-2.55,1.94,14.65,2660,1964,3054,2403
0.21,-0.3,0,407.8,-2.57,1.97,14.7,2638,1881,2750,2256
0.22,-0.32,0.01,407.9,-2.6,1.99,14.75,3066,2124,2694,2201
0.22,-0.32,0.1,406.6,-2.54,2,14.8,3091,2229,3156,2428
0.22,-0.31,0.11,406,-2.49,1.99,14.85,2842,2372,3013,2627
0.23,-0.32,0.06,406.4,-2.44,1.92,14.9,3206,1539,3133,2507
0.21,-0.3,0.03,407.6,-2.49,2.07,14.95,2938,2450,2826,1903
0.22,-0.29,-0.01,408.2,-2.48,2.17,15,2772,2194,2656,2125
0.21,-0.26,0.02,408,-2.43,2.19,15.05,2477,1995,2996,2543
0.22,-0.26,-0.07,409.7,-2.49,2.13,15.1,2606,1828,2730,2112
0.21,-0.27,-0.06,410,-2.53,2.15,15.15,2714,2013,2608,2065
0.2,-0.25,0.02,408.9,-2.52,2.16,15.2,2784,2244,2767,2270
0.2,-0.26,0.03,408,-2.48,2.12,15.25,2938,1999,3011,2463
0.19,-0.27,0.1,407.1,-2.48,2.15,15.3,3148,2646,2780,2196
0.23,-0.26,0.11,406.3,-2.38,2.19,15.35,2625,1949,3149,2962
0.19,-0.23,-0.01,407.6,-2.4,2.27,15.4,2829,2299,2454,2125
0.21,-0.23,-0.02,408,-2.4,2.32,15.45,2823,2415,2667,2048
0.22,-0.23,0.1,406.6,-2.33,2.34,15.5,3326,1834,2855,2668
0.23,-0.21,0.13,405.3,-2.24,2.39,15.55,3184,2527,3255,2805
0.17,-0.2,0.19,403.6,-2.2,2.43,15.6,4254,3337,2507,2543
0.25,-0.2,0.09,404.2,-2.01,2.34,15.65,2251,1840,4337,2913
0.16,-0.18,-0.16,410.3,-2.15,2.1,15.7,2464,1596,2357,1648
0.2,-0.2,-0.26,413.3,-2.26,2.09,15.75,2512,1681,2177,1402
0.2,-0.24,-0.09,412.9,-2.31,2.18,15.8,2659,2128,2347,2156
0.21,-0.28,0.1,409.2,-2.22,2.14,15.85,3200,2245,3186,2422
0.21,-0.28,0.17,407.3,-2.16,2.14,15.9,3210,2107,3323,2818
0.2,-0.26,0.07,407.2,-2.11,2.19,15.95,2915,1959,3102,2635
0.18,-0.22,-0.03,408.5,-2.11,2.28,16,2555,1950,2691,2365
0.21,-0.23,-0.01,409,-2.11,2.3,16.05,2235,1909,2951,2598
0.17,-0.21,-0.04,410.1,-2.17,2.3,16.1,2533,2421,2336,2092
0.18,-0.22,0.03,409.7,-2.15,2.3,16.15,2877,2136,2644,2421
0.18,-0.23,-0.02,409.9,-2.14,2.31,16.2,2555,2065,2821,2275
0.19,-0.21,0.02,409.4,-2.14,2.33,16.25,2902,2157,2654,2418
0.2,-0.2,-0.04,410.3,-2.16,2.35,16.3,2285,2012,2912,2512
0.19,-0.21,-0.01,410.4,-2.19,2.36,16.35,2538,2083,2635,2214
0.2,-0.19,0,410.7,-2.23,2.34,16.4,2762,2092,2816,2333
0.21,-0.21,0.05,409.8,-2.24,2.27,16.45,2986,2288,2551,2379
0.2,-0.2,0.11,408.1,-2.2,2.26,16.5,2954,2513,3026,2646
0.2,-0.2,0.07,407.6,-2.13,2.27,16.55,2781,1996,3024,2831
0.19,-0.18,-0.02,408.6,-2.14,2.34,16.6,2411,2185,2728,2343
0.18,-0.19,0.01,408.7,-2.14,2.36,16.65,2508,2086,2787,2597
0.18,-0.17,-0.04,409.6,-2.16,2.34,16.7,2492,2168,2763,2176
0.18,-0.18,-0.04,410,-2.16,2.27,16.75,2522,2000,2783,2360
