Time [s],CG Height [in],Pitch Angle [deg],Roll Angle [deg],Tire Load FL [lbf],Tire Load FR [lbf],Tire Load RL [lbf],Tire Load RR [lbf],Damper u1 [ft],Damper u2 [ft],Damper u3 [ft],Damper u4 [ft]
1.85,-0.098091037,0.351044434,0.042464645,487.7628329,497.8056598,708.7113718,718.0225333,0.006819194,0.006053244,-0.015108026,-0.015822211
1.9,-0.027232386,0.467449071,0.03021091,434.5479018,441.7633438,635.5777967,642.0041811,0.010742645,0.01024258,-0.010472948,-0.010915592
1.95,0.122633314,0.391332767,0.040083667,433.7328638,453.2750514,469.7471588,488.8110208,0.010981731,0.009639826,0.001643769,0.000337567
2,0.200250165,0.30224889,0.068721985,460.4543102,496.6737843,439.758946,475.6882787,0.009101358,0.006530236,0.004382246,0.001832112
2.05,0.167634386,0.299588014,0.086570056,491.7158544,529.4513647,520.5953683,557.7772434,0.00685387,0.004106303,-0.001260921,-0.003970158
2.1,0.091895913,0.335078514,0.078535947,516.8682141,541.9120015,590.1379367,614.1214027,0.004965891,0.003104454,-0.00646166,-0.008248297
2.15,0.042554551,0.357500737,0.058798476,526.469027,540.9687803,606.2770737,619.4953444,0.004303791,0.003250036,-0.007749216,-0.008710613
2.2,-0.001639208,0.345233977,0.050522848,545.4806436,560.2843728,601.3342289,614.9935704,0.002884543,0.001794388,-0.007488165,-0.00849499
2.25,-0.002469859,0.319726977,0.034158433,537.2244644,543.4610095,576.1120104,581.4088349,0.003368294,0.002902329,-0.005695263,-0.006092927
2.3,0.025407801,0.313810196,0.031062254,511.6189638,523.2799021,559.4000868,570.4076629,0.005231344,0.00445565,-0.004417725,-0.005144973
2.35,0.030272947,0.321326792,0.053236185,507.8813947,534.8922244,565.8159151,592.4239441,0.005618714,0.003667306,-0.004789954,-0.006711901
2.4,0.016456638,0.323149707,0.048619663,524.3598169,540.108947,579.3914008,594.5979664,0.004400088,0.003233454,-0.005859879,-0.006988548
2.45,0.031866847,0.313018104,0.04415504,510.407511,525.7231604,554.8269339,569.4267998,0.005253727,0.004174113,-0.004197132,-0.005225095
2.5,0.086176615,0.319322916,0.057829843,468.6066799,496.0255295,524.1329838,551.0008435,0.008270876,0.00635699,-0.001926747,-0.003800213
2.55,0.126342774,0.339745997,0.090837176,448.8192352,495.8761002,518.3369,564.9792867,0.009805775,0.006498818,-0.001418325,-0.004695321
2.6,0.126094732,0.355922156,0.140153343,453.8195138,525.4501141,524.9656478,596.0729633,0.009505023,0.004445223,-0.00191186,-0.006934849
2.65,0.103913449,0.350991345,0.200128756,463.5968999,560.5532864,520.1806389,616.1696042,0.008775017,0.001861005,-0.00158896,-0.008435379
2.7,0.084743538,0.345410467,0.246155825,463.4792275,570.8790197,519.372077,624.973129,0.008768297,0.001026872,-0.001486585,-0.009101773
2.75,0.053274213,0.348157184,0.257288606,486.8767491,584.3199219,550.5863703,645.1861538,0.007332681,0.000235836,-0.003499288,-0.010394683
2.8,-0.053158099,0.341673914,0.22721043,558.606048,628.4738315,618.4894164,684.6443386,0.002066582,-0.003111423,-0.008534419,-0.013447039
2.85,-0.090107764,0.320621227,0.156083946,560.7531153,588.9380494,608.9349588,633.055224,0.001646588,-0.000550433,-0.008111581,-0.01001565
2.9,-0.040898524,0.307817954,0.067047777,536.8682271,526.4084202,585.827686,571.6934384,0.003530438,0.004160255,-0.00619701,-0.005299576
2.95,-0.041581169,0.318563259,-0.022642066,559.2430483,513.3495116,624.5884092,575.9131566,0.001874498,0.00498373,-0.00907859,-0.005765104
3,0.023771369,0.315532719,-0.147386186,545.3869277,441.6409847,598.1590733,492.6995297,0.002795631,0.010083843,-0.007329474,8.64E-05
3.05,0.126180034,0.308481423,-0.248336738,516.8630162,389.6862321,558.4169401,431.2042485,0.004749766,0.013964329,-0.004486054,0.004738456
3.1,0.216339664,0.327199105,-0.265920785,481.1803111,375.0578298,539.2034272,435.0531558,0.007499306,0.015131905,-0.00284508,0.004651834
3.15,0.22474543,0.364847979,-0.312031228,521.9156929,387.261534,602.9127297,471.2775149,0.004817234,0.014387288,-0.007209719,0.002144213
3.2,0.144545962,0.389666621,-0.377971941,596.8358191,433.1973443,681.0104881,520.7948412,-0.00059997,0.011142567,-0.012960686,-0.001462858
3.25,0.036486078,0.379832705,-0.423938454,659.1152511,484.0980155,722.7674456,551.9059206,-0.005055126,0.007466161,-0.01596722,-0.003742518
3.3,-0.090877296,0.351158,-0.488800669,723.5571162,519.0301801,770.2275942,570.6630234,-0.009847367,0.00482976,-0.019523151,-0.005201207
3.35,-0.163259321,0.312547742,-0.530137835,726.7598809,516.7308787,757.7324954,553.5461657,-0.010287446,0.004852607,-0.018819582,-0.004097106
3.4,-0.15622216,0.279767261,-0.54989112,690.3207537,480.7538411,714.3399752,511.579203,-0.007758979,0.007348536,-0.015741602,-0.001121894
3.45,-0.089034898,0.26669708,-0.568573434,643.9149711,426.2831534,672.9006214,462.5681679,-0.004384626,0.011222603,-0.012708522,0.00237346
3.5,0.00740585,0.268375885,-0.62131229,616.3897997,366.2500307,650.4427723,407.6962848,-0.002321711,0.015570292,-0.011002543,0.006356585
3.55,0.084636725,0.284868149,-0.709325813,627.0385679,329.0486923,671.5580389,381.0100111,-0.002815661,0.01840942,-0.012222417,0.008466937
3.6,0.071437785,0.309904189,-0.851811935,697.7866346,329.2096225,754.6965682,394.125077,-0.007907454,0.018458454,-0.018241737,0.007550188
3.65,0.041267521,0.315208517,-0.971216175,734.751155,332.6059064,779.9773907,387.3615493,-0.010694309,0.018218819,-0.020326484,0.00790675
